Frequency (Hz)	Level (dB)
3090.014648	-49.125225
3095.397949	-48.038815
3100.781250	-47.357460
3106.164551	-49.227283
3111.547852	-51.509510
3116.931152	-52.503368
3122.314453	-52.832714
3127.697754	-53.763916
3133.081055	-53.073505
3138.464355	-48.862705
3143.847656	-51.329853
3149.230957	-45.661751
3154.614258	-43.482189
3159.997559	-46.175339
3165.380859	-40.384621
3170.764160	-35.480820
3176.147461	-37.139835
3181.530762	-41.974113
3186.914062	-38.992840
3192.297363	-35.132500
3197.680664	-40.526283
3203.063965	-46.359203
3208.447266	-47.724281
3213.830566	-47.847961
3219.213867	-58.996052
3224.597168	-49.898338
3229.980469	-51.339626
3235.363770	-55.353668
3240.747070	-52.565834
3246.130371	-49.784737
3251.513672	-46.668308
3256.896973	-46.002987
3262.280273	-43.181412
3267.663574	-45.359898
3273.046875	-46.347988
3278.430176	-52.766251
3283.813477	-49.700077
3289.196777	-55.302418
3294.580078	-49.987625
3299.963379	-45.021751
3305.346680	-44.974632
3310.729980	-44.630459
3316.113281	-44.358089
3321.496582	-45.709965
3326.879883	-45.370392
3332.263184	-37.232662
3337.646484	-31.668291
3343.029785	-31.106756
3348.413086	-30.473730
3353.796387	-30.693909
3359.179688	-33.385841
3364.562988	-37.741425
3369.946289	-47.216148
3375.329590	-41.761520
3380.712891	-36.286587
3386.096191	-36.170490
3391.479492	-41.730640
3396.862793	-33.158508
3402.246094	-34.484699
3407.629395	-38.318470
3413.012695	-42.182362
3418.395996	-43.214371
3423.779297	-42.503113
3429.162598	-45.578293
3434.545898	-42.741219
3439.929199	-40.071510
3445.312500	-47.418213
3450.695801	-50.589161
3456.079102	-42.351788
3461.462402	-41.306984
3466.845703	-39.013092
3472.229004	-36.549335
3477.612305	-38.372940
3482.995605	-39.545807
3488.378906	-43.992207
3493.762207	-54.045937
3499.145508	-50.861511
3504.528809	-44.990608
3509.912109	-43.660049
3515.295410	-39.070568
3520.678711	-36.936211
3526.062012	-39.055866
3531.445312	-43.605072
3536.828613	-45.634258
3542.211914	-49.276665
3547.595215	-49.230556
3552.978516	-49.136986
3558.361816	-44.466572
3563.745117	-45.442230
3569.128418	-43.221092
3574.511719	-47.170574
3579.895020	-48.507580
3585.278320	-48.752110
3590.661621	-42.724602
3596.044922	-40.802418
3601.428223	-39.241932
3606.811523	-37.643593
3612.194824	-38.761921
3617.578125	-38.817669
3622.961426	-37.188774
3628.344727	-35.091324
3633.728027	-35.695457
3639.111328	-37.871521
3644.494629	-45.735332
3649.877930	-43.687080
3655.261230	-41.668545
3660.644531	-47.664734
3666.027832	-46.425228
3671.411133	-48.625992
3676.794434	-42.579716
3682.177734	-42.791763
3687.561035	-40.548168
3692.944336	-45.396015
3698.327637	-55.590412
3703.710938	-50.010418
3709.094238	-50.244610
3714.477539	-45.996433
3719.860840	-42.514435
3725.244141	-42.473660
3730.627441	-42.448425
3736.010742	-39.423157
3741.394043	-36.890450
3746.777344	-39.020557
3752.160645	-47.388256
3757.543945	-34.793015
3762.927246	-36.317699
3768.310547	-41.516987
3773.693848	-41.354919
3779.077148	-44.822250
3784.460449	-50.400112
3789.843750	-47.878716
3795.227051	-50.766193
3800.610352	-46.420540
3805.993652	-44.492474
3811.376953	-48.613003
3816.760254	-45.888386
3822.143555	-43.037380
3827.526855	-47.238750
3832.910156	-42.351223
3838.293457	-35.811409
3843.676758	-31.981537
3849.060059	-35.575539
3854.443359	-38.778706
3859.826660	-41.430820
3865.209961	-40.138054
3870.593262	-41.988678
3875.976562	-40.602821
3881.359863	-39.325096
3886.743164	-35.927063
3892.126465	-38.485970
3897.509766	-40.064583
3902.893066	-38.100174
3908.276367	-38.460876
3913.659668	-38.017624
3919.042969	-32.500336
3924.426270	-35.846966
3929.809570	-37.349770
3935.192871	-41.214981
3940.576172	-42.526611
3945.959473	-38.417980
3951.342773	-38.597687
3956.726074	-42.188320
3962.109375	-42.261703
3967.492676	-46.742466
3972.875977	-42.572453
3978.259277	-43.452538
3983.642578	-49.683964
3989.025879	-46.257999
3994.409180	-46.088848
3999.792480	-56.244778
4005.175781	-59.376862
4010.559082	-50.866646
4015.942383	-50.749428
4021.325684	-45.370804
4026.708984	-46.974884
4032.092285	-51.726536
4037.475586	-53.933311
4042.858887	-51.614689
4048.242188	-57.411434
4053.625488	-55.268330
4059.008789	-46.707458
4064.392090	-49.066704
4069.775391	-44.702568
4075.158691	-52.287956
4080.541992	-36.351860
4085.925293	-35.772774
4091.308594	-39.864067
4096.691895	-46.808979
4102.075195	-47.401966
4107.458496	-49.959679
4112.841797	-58.519932
4118.225098	-51.147949
4123.608398	-52.912922
4128.991699	-56.920437
4134.375000	-54.632904
4139.758301	-56.150627
4145.141602	-44.555592
4150.524902	-46.771408
4155.908203	-48.678516
4161.291504	-48.823277
4166.674805	-51.891518
4172.058105	-52.651810
4177.441406	-55.513897
4182.824707	-50.585899
4188.208008	-46.535889
4193.591309	-45.534634
4198.974609	-47.192787
4204.357910	-49.730728
4209.741211	-47.977634
4215.124512	-52.729996
4220.507812	-52.256260
4225.891113	-50.934624
4231.274414	-55.931538
4236.657715	-52.033264
4242.041016	-58.055618
4247.424316	-49.175972
4252.807617	-47.763687
4258.190918	-59.406944
4263.574219	-45.779057
4268.957520	-41.827061
4274.340820	-43.087315
4279.724121	-47.348682
4285.107422	-42.065990
4290.490723	-38.169464
4295.874023	-40.238483
4301.257324	-38.288673
4306.640625	-35.784939
4312.023926	-35.727215
4317.407227	-42.824265
4322.790527	-41.301659
4328.173828	-42.049320
4333.557129	-47.260250
4338.940430	-47.135048
4344.323730	-42.055084
4349.707031	-41.826393
4355.090332	-45.287842
4360.473633	-50.035297
4365.856934	-45.753307
4371.240234	-47.290596
4376.623535	-51.690468
4382.006836	-50.955833
4387.390137	-42.759552
4392.773438	-44.416950
4398.156738	-43.175018
4403.540039	-42.216389
4408.923340	-42.646175
4414.306641	-45.512493
4419.689941	-43.456326
4425.073242	-45.024147
4430.456543	-44.403679
4435.839844	-43.264072
4441.223145	-38.476677
4446.606445	-38.356255
4451.989746	-38.457729
4457.373047	-38.369049
4462.756348	-39.443016
4468.139648	-38.889267
4473.522949	-38.073006
4478.906250	-49.711967
4484.289551	-38.951294
4489.672852	-36.414024
4495.056152	-35.645447
4500.439453	-36.622421
4505.822754	-42.500881
4511.206055	-49.133327
4516.589355	-48.722977
4521.972656	-46.893600
4527.355957	-47.048332
4532.739258	-45.621357
4538.122559	-44.488239
4543.505859	-44.833649
4548.889160	-48.584656
4554.272461	-45.314739
4559.655762	-45.895893
4565.039062	-43.576515
4570.422363	-46.408215
4575.805664	-48.681488
4581.188965	-53.114590
4586.572266	-59.098763
4591.955566	-62.514080
4597.338867	-54.511002
4602.722168	-47.566467
4608.105469	-49.253979
4613.488770	-47.498241
4618.872070	-45.577030
4624.255371	-47.187565
4629.638672	-53.577999
4635.021973	-50.462975
4640.405273	-54.622032
4645.788574	-55.998447
4651.171875	-48.953968
4656.555176	-48.443867
4661.938477	-53.321819
4667.321777	-52.711781
4672.705078	-49.026119
4678.088379	-47.957130
4683.471680	-44.146873
4688.854980	-43.472862
4694.238281	-43.575394
4699.621582	-44.365005
4705.004883	-41.835846
4710.388184	-45.225353
4715.771484	-40.149239
4721.154785	-35.510777
4726.538086	-37.959114
4731.921387	-41.643536
4737.304688	-38.515251
4742.687988	-35.190689
4748.071289	-36.199703
4753.454590	-39.591171
4758.837891	-40.121857
4764.221191	-43.794777
4769.604492	-51.778767
4774.987793	-50.213242
4780.371094	-49.150528
4785.754395	-43.278366
4791.137695	-41.060169
4796.520996	-41.262348
4801.904297	-45.756031
4807.287598	-47.227512
4812.670898	-43.061245
4818.054199	-43.388817
4823.437500	-49.194786
4828.820801	-45.648346
4834.204102	-43.728874
4839.587402	-34.066422
4844.970703	-36.443016
4850.354004	-44.577557
4855.737305	-48.143795
4861.120605	-47.736675
4866.503906	-47.458679
4871.887207	-46.932472
4877.270508	-46.840996
4882.653809	-49.908295
4888.037109	-50.537113
4893.420410	-49.161041
4898.803711	-49.782066
4904.187012	-50.638386
4909.570312	-50.266747
4914.953613	-46.357185
4920.336914	-44.454433
4925.720215	-44.314999
4931.103516	-43.068184
4936.486816	-40.466152
4941.870117	-40.638496
4947.253418	-46.616402
4952.636719	-41.472149
4958.020020	-47.341492
4963.403320	-38.954086
4968.786621	-44.081657
4974.169922	-50.368221
4979.553223	-48.327782
4984.936523	-40.241306
4990.319824	-44.119438
4995.703125	-46.118668
5001.086426	-46.595020
5006.469727	-49.556789
5011.853027	-51.361813
5017.236328	-48.185516
5022.619629	-47.968872
5028.002930	-48.873943
5033.386230	-46.164761
5038.769531	-43.139576
5044.152832	-45.612278
5049.536133	-42.959209
5054.919434	-42.102070
5060.302734	-44.524239
5065.686035	-43.156151
5071.069336	-38.997093
5076.452637	-39.606010
5081.835938	-40.037262
5087.219238	-36.277328
5092.602539	-39.273003
5097.985840	-45.535538
5103.369141	-49.776936
5108.752441	-45.603092
5114.135742	-46.126884
5119.519043	-59.062557
5124.902344	-53.000416
5130.285645	-49.509270
5135.668945	-45.928246
5141.052246	-49.821629
5146.435547	-53.436573
5151.818848	-49.008812
5157.202148	-41.985302
5162.585449	-42.630890
5167.968750	-45.195980
5173.352051	-48.313454
5178.735352	-47.782959
5184.118652	-45.727791
5189.501953	-46.689426
5194.885254	-43.283989
5200.268555	-39.687450
5205.651855	-37.469902
5211.035156	-38.862885
5216.418457	-38.746689
5221.801758	-44.370811
5227.185059	-42.873375
5232.568359	-36.336021
5237.951660	-34.605705
5243.334961	-44.693642
5248.718262	-45.482918
5254.101562	-56.605888
5259.484863	-48.207169
5264.868164	-44.231949
5270.251465	-43.647385
5275.634766	-45.646420
5281.018066	-51.304928
5286.401367	-41.371601
5291.784668	-46.161110
5297.167969	-49.807720
5302.551270	-49.044601
5307.934570	-47.629356
5313.317871	-47.271996
5318.701172	-46.557995
5324.084473	-43.478031
5329.467773	-45.262676
5334.851074	-39.912617
5340.234375	-47.096893
5345.617676	-38.203072
5351.000977	-36.707180
5356.384277	-37.912247
5361.767578	-44.676392
5367.150879	-38.822948
5372.534180	-39.024944
5377.917480	-38.312496
5383.300781	-37.298653
5388.684082	-39.292805
5394.067383	-34.347836
5399.450684	-35.618988
5404.833984	-35.992348
5410.217285	-38.440289
5415.600586	-38.999676
5420.983887	-36.579849
5426.367188	-39.936737
5431.750488	-45.434967
5437.133789	-47.870857
5442.517090	-44.799892
5447.900391	-44.839828
5453.283691	-44.488739
5458.666992	-43.396118
5464.050293	-51.727718
5469.433594	-50.120922
5474.816895	-44.186302
5480.200195	-49.203892
5485.583496	-44.370987
5490.966797	-46.895950
5496.350098	-46.056725
5501.733398	-42.759979
5507.116699	-42.914379
5512.500000	-42.745018
5517.883301	-40.043152
5523.266602	-43.849941
5528.649902	-44.881069
5534.033203	-45.911572
5539.416504	-41.984211
5544.799805	-38.118828
5550.183105	-37.986282
5555.566406	-43.963104
5560.949707	-47.513294
5566.333008	-38.613914
5571.716309	-37.787079
5577.099609	-39.093338
5582.482910	-38.316460
5587.866211	-39.348534
5593.249512	-45.795563
5598.632812	-44.471432
5604.016113	-43.522232
5609.399414	-40.685097
5614.782715	-43.374252
5620.166016	-43.517746
5625.549316	-45.459377
