Frequency (Hz)	Level (dB)
3133.081055	-62.966228
3138.464355	-71.720673
3143.847656	-60.742176
3149.230957	-61.160908
3154.614258	-72.566185
3159.997559	-74.358315
3165.380859	-63.347462
3170.764160	-62.630272
3176.147461	-62.195152
3181.530762	-59.925167
3186.914062	-58.438084
3192.297363	-67.944092
3197.680664	-65.093788
3203.063965	-73.412598
3208.447266	-65.221687
3213.830566	-68.413765
3219.213867	-69.053474
3224.597168	-73.292953
3229.980469	-57.649994
3235.363770	-57.969852
3240.747070	-48.546223
3246.130371	-53.293491
3251.513672	-62.707355
3256.896973	-58.924252
3262.280273	-64.211487
3267.663574	-78.288551
3273.046875	-63.581882
3278.430176	-58.942432
3283.813477	-62.828709
3289.196777	-72.883476
3294.580078	-91.187714
3299.963379	-70.886070
3305.346680	-74.985298
3310.729980	-80.061066
3316.113281	-67.407272
3321.496582	-66.772095
3326.879883	-89.556206
3332.263184	-73.213188
3337.646484	-64.883598
3343.029785	-69.668335
3348.413086	-77.832146
3353.796387	-70.424339
3359.179688	-61.555931
3364.562988	-65.867104
3369.946289	-66.320602
3375.329590	-66.761765
3380.712891	-66.482712
3386.096191	-74.350235
3391.479492	-76.951935
3396.862793	-67.743050
3402.246094	-63.449745
3407.629395	-67.771881
3413.012695	-75.584610
3418.395996	-64.889656
3423.779297	-62.495110
3429.162598	-66.730537
3434.545898	-72.754784
3439.929199	-72.977425
3445.312500	-82.971779
3450.695801	-80.130684
3456.079102	-74.064621
3461.462402	-72.084480
3466.845703	-72.615608
3472.229004	-76.770309
3477.612305	-83.563828
3482.995605	-95.909172
3488.378906	-87.368401
3493.762207	-85.884499
3499.145508	-75.268250
3504.528809	-63.286106
3509.912109	-63.766991
3515.295410	-64.779137
3520.678711	-61.390141
3526.062012	-68.622452
3531.445312	-81.368797
3536.828613	-71.257217
3542.211914	-65.168304
3547.595215	-65.252457
3552.978516	-66.611343
3558.361816	-72.130600
3563.745117	-78.413757
3569.128418	-68.590355
3574.511719	-66.960770
3579.895020	-77.883949
3585.278320	-81.612122
3590.661621	-76.989517
3596.044922	-75.388664
3601.428223	-73.296204
3606.811523	-67.357117
3612.194824	-67.255432
3617.578125	-70.744278
3622.961426	-74.248177
3628.344727	-60.699856
3633.728027	-60.144096
3639.111328	-64.285202
3644.494629	-62.672005
3649.877930	-65.237183
3655.261230	-61.810242
3660.644531	-53.281197
3666.027832	-53.703236
3671.411133	-67.553917
3676.794434	-68.581253
3682.177734	-66.511932
3687.561035	-60.682964
3692.944336	-64.213074
3698.327637	-77.252396
3703.710938	-64.030716
3709.094238	-67.583778
3714.477539	-61.854065
3719.860840	-60.786625
3725.244141	-68.408127
3730.627441	-63.620506
3736.010742	-69.531517
3741.394043	-66.639153
3746.777344	-60.992504
3752.160645	-62.761639
3757.543945	-70.070343
3762.927246	-64.078445
3768.310547	-72.228897
3773.693848	-62.610901
3779.077148	-58.643894
3784.460449	-63.669048
3789.843750	-86.680267
3795.227051	-64.104889
3800.610352	-60.985867
3805.993652	-69.373573
3811.376953	-77.618919
3816.760254	-68.379234
3822.143555	-66.010773
3827.526855	-62.901207
3832.910156	-65.156029
3838.293457	-60.880783
3843.676758	-72.692169
3849.060059	-59.831921
3854.443359	-59.845333
3859.826660	-59.593765
3865.209961	-61.877419
3870.593262	-66.633415
3875.976562	-70.917717
3881.359863	-61.859055
3886.743164	-62.008705
3892.126465	-68.073639
3897.509766	-61.385563
3902.893066	-59.210381
3908.276367	-59.648922
3913.659668	-59.418152
3919.042969	-57.029987
3924.426270	-73.846024
3929.809570	-63.370346
3935.192871	-64.292503
3940.576172	-62.070969
3945.959473	-63.186993
3951.342773	-60.820187
3956.726074	-58.555565
3962.109375	-59.135494
3967.492676	-54.979698
3972.875977	-66.742401
3978.259277	-59.326046
3983.642578	-62.368454
3989.025879	-65.473877
3994.409180	-65.961258
3999.792480	-70.970497
4005.175781	-75.202698
4010.559082	-75.698616
4015.942383	-75.285316
4021.325684	-65.184669
4026.708984	-63.168808
4032.092285	-64.829483
4037.475586	-59.372406
4042.858887	-57.751961
4048.242188	-56.754074
4053.625488	-57.606781
4059.008789	-61.695766
4064.392090	-69.021347
4069.775391	-59.009903
4075.158691	-59.907326
4080.541992	-61.133373
4085.925293	-54.601631
4091.308594	-62.673611
4096.691895	-73.652351
4102.075195	-74.529594
4107.458496	-75.857529
4112.841797	-80.420135
4118.225098	-67.751457
4123.608398	-69.251129
4128.991699	-80.551872
4134.375000	-77.544716
4139.758301	-82.503677
4145.141602	-79.910583
4150.524902	-69.514008
4155.908203	-68.439560
4161.291504	-60.517002
4166.674805	-56.915504
4172.058105	-66.229584
4177.441406	-64.391472
4182.824707	-65.076843
4188.208008	-68.878357
4193.591309	-63.528809
4198.974609	-66.087402
4204.357910	-64.508469
4209.741211	-62.536179
4215.124512	-68.560005
4220.507812	-71.205215
4225.891113	-68.037163
4231.274414	-69.411667
4236.657715	-64.534836
4242.041016	-70.174217
4247.424316	-80.441307
4252.807617	-75.610222
4258.190918	-65.193352
4263.574219	-68.051140
4268.957520	-57.877708
4274.340820	-56.895119
4279.724121	-65.261749
4285.107422	-59.598907
4290.490723	-55.996712
4295.874023	-52.935314
4301.257324	-59.274834
4306.640625	-57.818226
4312.023926	-64.465843
4317.407227	-74.652687
4322.790527	-79.745285
4328.173828	-81.408020
4333.557129	-72.017860
4338.940430	-69.714149
4344.323730	-67.213417
4349.707031	-63.649998
4355.090332	-62.150639
4360.473633	-67.056831
4365.856934	-66.841759
4371.240234	-64.886719
4376.623535	-63.612854
4382.006836	-65.926155
4387.390137	-64.839287
4392.773438	-60.750534
4398.156738	-63.399738
4403.540039	-67.712746
4408.923340	-60.435062
4414.306641	-64.810844
4419.689941	-61.606846
4425.073242	-62.843613
4430.456543	-64.898849
4435.839844	-64.493668
4441.223145	-60.239632
4446.606445	-55.594093
4451.989746	-58.418102
4457.373047	-60.005596
4462.756348	-60.684017
4468.139648	-68.900787
4473.522949	-63.042450
4478.906250	-64.966232
4484.289551	-73.298813
4489.672852	-66.819069
4495.056152	-66.721680
4500.439453	-82.029968
4505.822754	-78.267265
4511.206055	-72.585724
4516.589355	-64.671265
4521.972656	-63.646679
4527.355957	-68.842728
4532.739258	-78.555939
4538.122559	-77.924057
4543.505859	-72.688148
4548.889160	-69.498337
4554.272461	-65.033936
4559.655762	-63.134373
4565.039062	-66.808807
4570.422363	-77.825485
4575.805664	-65.785660
4581.188965	-59.435329
4586.572266	-55.481709
4591.955566	-52.757061
4597.338867	-58.042530
4602.722168	-57.963989
4608.105469	-56.745495
4613.488770	-60.564468
4618.872070	-73.605782
4624.255371	-60.301666
4629.638672	-59.100113
4635.021973	-66.271301
4640.405273	-65.395470
4645.788574	-60.526871
4651.171875	-57.374855
4656.555176	-53.519051
4661.938477	-55.484360
4667.321777	-58.373032
4672.705078	-62.321407
4678.088379	-67.013054
4683.471680	-75.944183
4688.854980	-60.303112
4694.238281	-59.047451
4699.621582	-66.513618
4705.004883	-71.629974
4710.388184	-63.297337
4715.771484	-62.865913
4721.154785	-66.525673
4726.538086	-70.296211
4731.921387	-73.612694
4737.304688	-70.727386
4742.687988	-67.786354
4748.071289	-67.052284
4753.454590	-68.597374
4758.837891	-64.189362
4764.221191	-62.170670
4769.604492	-58.072346
4774.987793	-61.575039
4780.371094	-64.848175
4785.754395	-63.550411
4791.137695	-88.840538
4796.520996	-71.571457
4801.904297	-71.320023
4807.287598	-67.218292
4812.670898	-66.548271
4818.054199	-66.682953
4823.437500	-61.098869
4828.820801	-57.480118
4834.204102	-58.879559
4839.587402	-62.436020
4844.970703	-65.421242
4850.354004	-71.535408
4855.737305	-68.436234
4861.120605	-78.209785
4866.503906	-67.315956
4871.887207	-70.887550
4877.270508	-74.011765
4882.653809	-67.880669
4888.037109	-73.876991
4893.420410	-69.298660
4898.803711	-62.023655
4904.187012	-61.166134
4909.570312	-65.287399
4914.953613	-58.900646
4920.336914	-55.058239
4925.720215	-57.626495
4931.103516	-63.954723
4936.486816	-63.054684
4941.870117	-65.194511
4947.253418	-69.585991
4952.636719	-70.792015
4958.020020	-74.996597
4963.403320	-69.247520
4968.786621	-58.789589
4974.169922	-63.364479
4979.553223	-65.133003
4984.936523	-58.693211
4990.319824	-58.829678
4995.703125	-61.743244
