Frequency (Hz)	Level (dB)
2115.637207	-62.474720
2121.020508	-65.721619
2126.403809	-61.022167
2131.787109	-56.795723
2137.170410	-56.763592
2142.553711	-61.345081
2147.937012	-68.223427
2153.320312	-64.252808
2158.703613	-61.243103
2164.086914	-59.455330
2169.470215	-65.397621
2174.853516	-59.896717
2180.236816	-59.937420
2185.620117	-64.197533
2191.003418	-60.951355
2196.386719	-58.637199
2201.770020	-71.482101
2207.153320	-66.346756
2212.536621	-63.474098
2217.919922	-62.969009
2223.303223	-68.535316
2228.686523	-62.311924
2234.069824	-62.698154
2239.453125	-61.660133
2244.836426	-60.053970
2250.219727	-64.464577
2255.603027	-63.724854
2260.986328	-60.737110
2266.369629	-58.131077
2271.752930	-55.116547
2277.136230	-60.144062
2282.519531	-54.831100
2287.902832	-56.098778
2293.286133	-61.132618
2298.669434	-52.271503
2304.052734	-53.803753
2309.436035	-58.739395
2314.819336	-54.714191
2320.202637	-56.674728
2325.585938	-54.322510
2330.969238	-55.597904
2336.352539	-56.720013
2341.735840	-54.201782
2347.119141	-53.231651
2352.502441	-49.371582
2357.885742	-52.654083
2363.269043	-57.616428
2368.652344	-55.011818
2374.035645	-59.467888
2379.418945	-58.619781
2384.802246	-61.209129
2390.185547	-62.610264
2395.568848	-64.009880
2400.952148	-58.321819
2406.335449	-57.992607
2411.718750	-57.162197
2417.102051	-56.892200
2422.485352	-49.143818
2427.868652	-42.327129
2433.251953	-45.152176
2438.635254	-33.180542
2444.018555	-32.948513
2449.401855	-40.346619
2454.785156	-43.401665
2460.168457	-37.647453
2465.551758	-37.632992
2470.935059	-43.923435
2476.318359	-43.942005
2481.701660	-42.447094
2487.084961	-41.781269
2492.468262	-45.505569
2497.851562	-42.653267
2503.234863	-46.400055
2508.618164	-56.323845
2514.001465	-71.633972
2519.384766	-75.324806
2524.768066	-72.833496
2530.151367	-53.731895
2535.534668	-44.639721
2540.917969	-46.715714
2546.301270	-55.525513
2551.684570	-62.396084
2557.067871	-64.530739
2562.451172	-60.389317
2567.834473	-53.751602
2573.217773	-54.413261
2578.601074	-61.640919
2583.984375	-57.740768
2589.367676	-58.994312
2594.750977	-56.389271
2600.134277	-57.956688
2605.517578	-57.319008
2610.900879	-56.567554
2616.284180	-54.537586
2621.667480	-54.710320
2627.050781	-60.471596
2632.434082	-59.825783
2637.817383	-56.351505
2643.200684	-53.549217
2648.583984	-56.940823
2653.967285	-58.391659
2659.350586	-67.748711
2664.733887	-62.926937
2670.117188	-61.084362
2675.500488	-56.070663
2680.883789	-58.182560
2686.267090	-67.187141
2691.650391	-60.723797
2697.033691	-59.077209
2702.416992	-59.623779
2707.800293	-66.420555
2713.183594	-59.414047
2718.566895	-67.618233
2723.950195	-60.965309
2729.333496	-59.852898
2734.716797	-56.107265
2740.100098	-57.119873
2745.483398	-51.162422
2750.866699	-52.487770
2756.250000	-55.592808
2761.633301	-61.257233
2767.016602	-58.163761
2772.399902	-62.195858
2777.783203	-64.987747
2783.166504	-62.906128
2788.549805	-63.006680
2793.933105	-64.639435
2799.316406	-64.349167
2804.699707	-65.564934
2810.083008	-62.251541
2815.466309	-58.754303
2820.849609	-58.241108
2826.232910	-61.365723
2831.616211	-62.930862
2836.999512	-65.642204
2842.382812	-60.880585
2847.766113	-64.131905
2853.149414	-63.881603
2858.532715	-64.886223
2863.916016	-62.887348
2869.299316	-60.862648
2874.682617	-55.941772
2880.065918	-49.726120
2885.449219	-52.862751
2890.832520	-56.291885
2896.215820	-61.445053
2901.599121	-59.583664
2906.982422	-55.480995
2912.365723	-57.585491
2917.749023	-62.665829
2923.132324	-55.154900
2928.515625	-51.172615
2933.898926	-59.653637
2939.282227	-58.671375
2944.665527	-55.277203
2950.048828	-59.182934
2955.432129	-60.425793
2960.815430	-63.264107
2966.198730	-53.132271
2971.582031	-51.681664
2976.965332	-49.968868
2982.348633	-48.976501
2987.731934	-52.233341
2993.115234	-51.793541
2998.498535	-54.305508
3003.881836	-55.416084
3009.265137	-53.973896
3014.648438	-48.903183
3020.031738	-50.829517
3025.415039	-52.904900
3030.798340	-54.094582
3036.181641	-50.382782
3041.564941	-51.828445
3046.948242	-55.782803
3052.331543	-56.135185
3057.714844	-60.207634
3063.098145	-59.001354
3068.481445	-56.335369
3073.864746	-58.699245
3079.248047	-71.286438
3084.631348	-70.339676
3090.014648	-59.030418
3095.397949	-56.557133
3100.781250	-60.220070
3106.164551	-58.545605
3111.547852	-55.244633
3116.931152	-52.956375
3122.314453	-44.143440
3127.697754	-35.036228
3133.081055	-35.764778
3138.464355	-41.676884
3143.847656	-41.854282
3149.230957	-53.108166
3154.614258	-41.529312
3159.997559	-39.923737
3165.380859	-37.684788
3170.764160	-39.359550
3176.147461	-41.071415
3181.530762	-45.799637
3186.914062	-40.225193
3192.297363	-36.900547
3197.680664	-34.113651
3203.063965	-40.279861
3208.447266	-50.546352
3213.830566	-48.801975
3219.213867	-58.393803
3224.597168	-57.093651
3229.980469	-57.830803
3235.363770	-50.434593
3240.747070	-51.499691
3246.130371	-54.405918
3251.513672	-54.160313
3256.896973	-54.038654
3262.280273	-54.323753
3267.663574	-48.239975
3273.046875	-46.870331
3278.430176	-48.177757
3283.813477	-61.626240
3289.196777	-52.250942
3294.580078	-42.941425
3299.963379	-46.029526
3305.346680	-59.665356
3310.729980	-45.987713
3316.113281	-43.766003
3321.496582	-40.196045
3326.879883	-33.018520
3332.263184	-31.870333
3337.646484	-34.696224
3343.029785	-34.428005
3348.413086	-33.709114
3353.796387	-38.813431
3359.179688	-44.227943
3364.562988	-44.637333
3369.946289	-48.082458
3375.329590	-49.519726
3380.712891	-45.676243
3386.096191	-45.907074
3391.479492	-50.003971
3396.862793	-43.130302
3402.246094	-40.981182
3407.629395	-46.239269
3413.012695	-51.277229
3418.395996	-43.198231
3423.779297	-47.091621
3429.162598	-50.244839
3434.545898	-56.022301
3439.929199	-55.503628
3445.312500	-57.686005
3450.695801	-60.257496
3456.079102	-61.244606
3461.462402	-57.128368
3466.845703	-54.954578
3472.229004	-64.201492
3477.612305	-60.877205
3482.995605	-50.807213
3488.378906	-45.370159
3493.762207	-50.946949
3499.145508	-67.248695
3504.528809	-60.833996
3509.912109	-56.219719
3515.295410	-59.739208
3520.678711	-55.095463
3526.062012	-45.225220
3531.445312	-46.420959
3536.828613	-45.103226
3542.211914	-41.381577
3547.595215	-44.289642
3552.978516	-53.515369
3558.361816	-53.366665
3563.745117	-52.521946
3569.128418	-54.367352
3574.511719	-54.643295
3579.895020	-56.294495
3585.278320	-58.050602
3590.661621	-54.504326
3596.044922	-54.568268
3601.428223	-54.787212
3606.811523	-54.374065
3612.194824	-54.981556
3617.578125	-61.541374
3622.961426	-48.613464
3628.344727	-41.680149
3633.728027	-43.114876
3639.111328	-51.179810
3644.494629	-54.682621
3649.877930	-54.858620
3655.261230	-46.252655
3660.644531	-43.078106
3666.027832	-39.249882
3671.411133	-39.753029
3676.794434	-38.111206
3682.177734	-41.054688
3687.561035	-41.980991
3692.944336	-41.992008
3698.327637	-50.068516
3703.710938	-54.206776
3709.094238	-61.130436
3714.477539	-61.199749
3719.860840	-53.338524
3725.244141	-54.305954
3730.627441	-54.882553
3736.010742	-56.199772
3741.394043	-57.328003
3746.777344	-50.486725
3752.160645	-48.810425
3757.543945	-55.999157
3762.927246	-53.504631
3768.310547	-51.943794
3773.693848	-53.335228
3779.077148	-47.563496
3784.460449	-53.995247
3789.843750	-62.906002
3795.227051	-59.339615
3800.610352	-53.892616
3805.993652	-58.698570
3811.376953	-59.203758
3816.760254	-58.950714
3822.143555	-53.005318
3827.526855	-51.949703
3832.910156	-50.753719
3838.293457	-48.802238
3843.676758	-42.454975
3849.060059	-42.507946
3854.443359	-51.285053
3859.826660	-45.045170
3865.209961	-44.893219
3870.593262	-46.272984
3875.976562	-45.839870
3881.359863	-46.534790
3886.743164	-45.598202
3892.126465	-47.446266
3897.509766	-48.016869
3902.893066	-50.740936
3908.276367	-56.565548
3913.659668	-42.356407
3919.042969	-42.604610
3924.426270	-47.367458
3929.809570	-49.511612
3935.192871	-51.440338
3940.576172	-58.917461
3945.959473	-54.476841
3951.342773	-55.393509
3956.726074	-50.544014
3962.109375	-52.834084
3967.492676	-56.480846
3972.875977	-54.973404
3978.259277	-58.833195
3983.642578	-62.043488
3989.025879	-59.655331
3994.409180	-58.510265
3999.792480	-57.310627
4005.175781	-57.180416
4010.559082	-54.058983
4015.942383	-55.399902
4021.325684	-61.612968
4026.708984	-54.657196
4032.092285	-55.279942
4037.475586	-60.787010
4042.858887	-56.378609
4048.242188	-58.623951
4053.625488	-61.480423
4059.008789	-59.988670
4064.392090	-61.047428
4069.775391	-55.365520
4075.158691	-52.921753
4080.541992	-51.667034
4085.925293	-56.685593
4091.308594	-60.762421
4096.691895	-54.610489
4102.075195	-53.291729
4107.458496	-57.409103
4112.841797	-57.965881
4118.225098	-50.023651
4123.608398	-54.878605
4128.991699	-55.607536
4134.375000	-53.661240
4139.758301	-49.843754
4145.141602	-48.208088
4150.524902	-56.246960
4155.908203	-60.508507
4161.291504	-53.908440
4166.674805	-53.760323
4172.058105	-61.270477
4177.441406	-59.360531
4182.824707	-52.922935
4188.208008	-52.196007
4193.591309	-49.576290
4198.974609	-51.807529
4204.357910	-60.582287
4209.741211	-59.919224
4215.124512	-54.878265
4220.507812	-57.289749
4225.891113	-56.411999
4231.274414	-50.258411
4236.657715	-48.668156
4242.041016	-50.057648
4247.424316	-49.971725
4252.807617	-49.022842
4258.190918	-50.158974
4263.574219	-52.128262
4268.957520	-53.890629
4274.340820	-51.943958
4279.724121	-46.435585
4285.107422	-49.458126
4290.490723	-48.567917
4295.874023	-49.195770
4301.257324	-46.466396
4306.640625	-50.757217
4312.023926	-55.757877
4317.407227	-55.097572
4322.790527	-51.245766
4328.173828	-51.857643
4333.557129	-54.112644
4338.940430	-52.934261
4344.323730	-51.779510
4349.707031	-50.395489
4355.090332	-54.878395
4360.473633	-57.321266
4365.856934	-56.502197
4371.240234	-51.437447
4376.623535	-45.278526
4382.006836	-50.385559
4387.390137	-58.181744
4392.773438	-62.370609
4398.156738	-56.886009
4403.540039	-54.287949
4408.923340	-54.159401
4414.306641	-50.187073
4419.689941	-46.658646
4425.073242	-48.829189
4430.456543	-49.084530
4435.839844	-45.799416
4441.223145	-46.033176
4446.606445	-43.291531
4451.989746	-42.311165
4457.373047	-43.978535
4462.756348	-45.629829
4468.139648	-51.624153
4473.522949	-51.954510
4478.906250	-53.489586
4484.289551	-48.533833
4489.672852	-48.642792
4495.056152	-45.501202
4500.439453	-43.414104
4505.822754	-40.493759
4511.206055	-43.730015
4516.589355	-48.383076
4521.972656	-40.242390
4527.355957	-42.729397
4532.739258	-56.403366
4538.122559	-53.476471
4543.505859	-49.384243
4548.889160	-55.810089
4554.272461	-56.466587
4559.655762	-55.019035
4565.039062	-57.906837
4570.422363	-55.718754
4575.805664	-48.797184
4581.188965	-53.130398
4586.572266	-59.029045
4591.955566	-55.437199
4597.338867	-56.862717
4602.722168	-56.533401
4608.105469	-58.765602
4613.488770	-56.945282
4618.872070	-60.844234
4624.255371	-54.655666
4629.638672	-49.974064
4635.021973	-49.187027
4640.405273	-55.594246
4645.788574	-55.367123
4651.171875	-47.478500
4656.555176	-55.555733
4661.938477	-52.831726
4667.321777	-55.674065
4672.705078	-49.628441
4678.088379	-50.214470
4683.471680	-47.557674
4688.854980	-41.611576
4694.238281	-43.557301
4699.621582	-40.262062
4705.004883	-41.466469
4710.388184	-46.851719
4715.771484	-39.923042
4721.154785	-36.305252
4726.538086	-38.317966
4731.921387	-45.484249
4737.304688	-43.121101
4742.687988	-38.417061
4748.071289	-36.142979
4753.454590	-41.541664
4758.837891	-42.675560
4764.221191	-43.110149
4769.604492	-48.880138
4774.987793	-52.969547
4780.371094	-55.526463
4785.754395	-54.325348
4791.137695	-43.451263
4796.520996	-41.135559
4801.904297	-48.260010
4807.287598	-56.666668
4812.670898	-50.378456
4818.054199	-47.826744
4823.437500	-46.236340
4828.820801	-44.967968
4834.204102	-44.772392
4839.587402	-49.374729
4844.970703	-51.001202
4850.354004	-44.253887
4855.737305	-44.685036
4861.120605	-47.676102
4866.503906	-50.913883
4871.887207	-47.826698
4877.270508	-50.272713
4882.653809	-51.033077
4888.037109	-50.679977
4893.420410	-52.343281
4898.803711	-57.843597
4904.187012	-53.711071
4909.570312	-55.773335
4914.953613	-54.084919
4920.336914	-59.605488
4925.720215	-50.851032
4931.103516	-42.818703
4936.486816	-37.759315
4941.870117	-43.666973
4947.253418	-43.442261
4952.636719	-41.636177
4958.020020	-44.553234
4963.403320	-49.731522
4968.786621	-50.352451
4974.169922	-54.081123
4979.553223	-51.284340
4984.936523	-45.944324
4990.319824	-46.823521
4995.703125	-48.873215
5001.086426	-54.995564
5006.469727	-49.482246
5011.853027	-43.826138
5017.236328	-47.024506
5022.619629	-61.347839
5028.002930	-53.296074
5033.386230	-48.847466
5038.769531	-49.438190
5044.152832	-55.174465
5049.536133	-47.637505
5054.919434	-42.799469
5060.302734	-44.273232
